municipio_id,municipio_nome,municipio_nome_normalizado
1300029,Alvarães,ALVARAES
1300060,Amaturá,AMATURA
1300086,Anamã,ANAMA
1300102,Anori,ANORI
1300144,Apuí,APUI
1300201,Atalaia do Norte,ATALAIA DO NORTE
1300300,Autazes,AUTAZES
1300409,Barcelos,BARCELOS
1300508,Barreirinha,BARREIRINHA
1300607,Benjamin Constant,BENJAMIN CONSTANT
1300631,Beruri,BERURI
1300680,Boa Vista do Ramos,BOA VISTA DO RAMOS
1300706,Boca do Acre,BOCA DO ACRE
1300805,Borba,BORBA
1300839,Caapiranga,CAAPIRANGA
1300904,Canutama,CANUTAMA
1301001,Carauari,CARAUARI
1301100,Careiro,CAREIRO
1301159,Careiro da Várzea,CAREIRO DA VARZEA
1301209,Coari,COARI
1301308,Codajás,CODAJAS
1301407,Eirunepé,EIRUNEPE
1301506,Envira,ENVIRA
1301605,Fonte Boa,FONTE BOA
1301654,Guajará,GUAJARA
1301704,Humaitá,HUMAITA
1301803,Ipixuna,IPIXUNA
1301852,Iranduba,IRANDUBA
1301902,Itacoatiara,ITACOATIARA
1301951,Itamarati,ITAMARATI
1302009,Itapiranga,ITAPIRANGA
1302108,Japurá,JAPURA
1302207,Juruá,JURUA
1302306,Jutaí,JUTAI
1302405,Lábrea,LABREA
1302504,Manacapuru,MANACAPURU
1302553,Manaquiri,MANAQUIRI
1302603,Manaus,MANAUS
1302702,Manicoré,MANICORE
1302801,Maraã,MARAA
1302900,Maués,MAUES
1303007,Nhamundá,NHAMUNDA
1303106,Nova Olinda do Norte,NOVA OLINDA DO NORTE
1303205,Novo Airão,NOVO AIRAO
1303304,Novo Aripuanã,NOVO ARIPUANA
1303403,Parintins,PARINTINS
1303502,Pauini,PAUINI
1303536,Presidente Figueiredo,PRESIDENTE FIGUEIREDO
1303569,Rio Preto da Eva,RIO PRETO DA EVA
1303601,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO
1303700,Santo Antônio do Içá,SANTO ANTONIO DO ICA
1303809,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA
1303908,São Paulo de Olivença,SAO PAULO DE OLIVENCA
1303957,São Sebastião do Uatumã,SAO SEBASTIAO DO UATUMA
1304005,Silves,SILVES
1304062,Tabatinga,TABATINGA
1304104,Tapauá,TAPAUA
1304203,Tefé,TEFE
1304237,Tonantins,TONANTINS
1304260,Uarini,UARINI
1304302,Urucará,URUCARA
1304401,Urucurituba,URUCURITUBA
